rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
470,682,13,2.5,0.5,4,0.05,0.3,-1.06813585,9893.18641542,-1.50743563,814,162.26395315,-0.01725161,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
471,632,8,4,0.6,2,0.03,0.3,-1.06984737,9893.01526347,-1.59769637,1241,146.50343452,-0.01825919,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
472,567,8,3.5,0.5,3,0.05,0.15,-1.0709909,9892.90090973,-1.56384015,594,118.09854892,-0.03129583,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
473,800,13,3.5,0.6,3,0.03,0.3,-1.07702002,9892.29799804,-1.86586367,1001,118.02194944,-0.01734225,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
474,110,3,3.5,0.4,2,0.03,0.3,-1.07710917,9892.28908347,-1.50412177,1216,143.89017184,-0.02222636,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
475,127,3,3.5,0.5,2,0.03,0.15,-1.07809863,9892.19013746,-1.20043206,1013,120.93918842,-0.03781167,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
476,523,8,3,0.6,2,0.03,0.15,-1.08123385,9891.87661532,-1.3537277,1053,125.86652627,-0.03576474,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
477,743,13,3,0.6,2,0.08,0.15,-1.08254344,9891.74565641,-1.20163868,466,140.28139971,-0.02975082,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
478,757,13,3.5,0.4,2,0.03,0.15,-1.08300634,9891.69936569,-1.17664117,851,101.63179903,-0.0320741,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
479,653,13,2.5,0.4,2,0.08,0.15,-1.08309076,9891.69092382,-1.39005594,526,159.29826814,-0.03056233,4321,2026-07-03T07:17:00+00:00,2026-07-06T07:17:00+00:00,whale-market-maker-v2,mainnet,ETH,1m,10000.0
