rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
760,596,8,4,0.4,2,0.03,0.3,-16.60953933,8339.0460672,-16.61223236,4646,1788.97257792,-0.29486876,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
761,688,13,2.5,0.6,2,0.05,0.3,-16.61362083,8338.63791701,-16.61362083,3968,1675.96203002,-0.280741,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
762,480,8,2.5,0.6,3,0.08,0.3,-16.62505165,8337.49483493,-16.62884521,3208,1496.00930721,-0.2699272,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
763,526,8,3,0.6,2,0.05,0.3,-16.64531958,8335.46804192,-16.64980595,4083,1726.43193773,-0.276092,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
764,508,8,3,0.5,2,0.05,0.3,-16.67765329,8332.234671,-16.68242994,4023,1671.2352779,-0.29378496,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
765,440,8,2.5,0.4,3,0.03,0.3,-16.69509171,8330.49082863,-16.69931001,4110,1647.62305049,-0.27816456,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
766,476,8,2.5,0.6,3,0.03,0.3,-16.69617424,8330.38257552,-16.69951957,4496,1753.89232451,-0.29347944,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
767,614,8,4,0.5,2,0.03,0.3,-16.70682842,8329.31715841,-16.70951831,4713,1785.27980664,-0.28235214,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
768,656,13,2.5,0.4,3,0.03,0.3,-16.71585826,8328.41417411,-16.73449195,4190,1671.63677647,-0.27166301,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
769,102,3,3,0.6,3,0.08,0.3,-16.76770062,8323.22993828,-16.79713864,3320,1579.03308025,-0.26973804,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
