rank,run_id,max_abs_weight,volume_lookback,spike_multiplier,volume_drop_ratio,pullback_tolerance_pct,breakout_buffer_pct,step_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
158,1246,1,8,4,0.5,0.3,0.05,0.1,-0.53739333,9946.26066698,-0.95709441,110,52.34406466,-0.01930893,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
159,1267,1,8,4,0.5,0.8,0.1,0.1,-0.53868561,9946.13143866,-0.94929179,111,49.94401071,-0.02239536,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
160,865,1,5,3,0.65,0.3,0,0.1,-0.53955552,9946.04444781,-0.86521306,201,106.58876146,-0.01441219,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
161,1255,1,8,4,0.5,0.5,0.05,0.1,-0.54800724,9945.19927564,-1.03178838,115,53.9364199,-0.01808038,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
162,590,1,3,4,0.35,0.8,0.05,0.2,-0.54934911,9945.06508944,-1.77706592,144,134.25849167,-0.00757558,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
163,871,1,5,3,0.65,0.3,0.1,0.1,-0.56647598,9943.35240196,-1.55405672,177,87.6365414,-0.01287885,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
164,820,1,5,3,0.35,0.5,0,0.1,-0.58327523,9941.67247692,-1.12670611,188,97.87168191,-0.01392401,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
165,635,1,3,4,0.65,0.5,0.05,0.2,-0.58824187,9941.17581321,-1.13066004,158,150.68916528,-0.0089699,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
166,644,1,3,4,0.65,0.8,0.05,0.2,-0.58824187,9941.17581321,-1.13066004,158,150.68916528,-0.0089699,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
167,596,1,3,4,0.5,0.3,0,0.2,-0.59466278,9940.53372187,-1.81386615,166,162.9981472,-0.00749167,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
168,889,1,5,3,0.65,0.8,0.1,0.1,-0.59521251,9940.47874902,-1.58321784,179,88.42236847,-0.01346481,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
169,880,1,5,3,0.65,0.5,0.1,0.1,-0.59592963,9940.40703665,-1.58321784,178,87.63206759,-0.01356119,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
170,839,1,5,3,0.5,0.3,0,0.2,-0.6050609,9939.49391035,-1.23190536,189,197.41227764,-0.00851908,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
171,1264,1,8,4,0.5,0.8,0.05,0.1,-0.60752672,9939.24732828,-1.11619581,118,55.5268472,-0.02116246,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
172,812,1,5,3,0.35,0.3,0,0.2,-0.61209959,9938.79004116,-1.77579971,179,184.61909733,-0.00797502,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
173,1295,1,8,4,0.65,0.8,0.1,0.2,-0.61370087,9938.62991287,-1.61602592,112,103.18466024,-0.01264607,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
174,925,1,5,4,0.5,0.3,0.1,0.1,-0.61887288,9938.11271226,-1.10797451,125,64.79157938,-0.01797162,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
175,1163,1,8,3,0.5,0.3,0,0.2,-0.61957677,9938.04232336,-1.52064235,163,173.28713017,-0.01092497,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
176,829,1,5,3,0.35,0.8,0,0.1,-0.63544479,9936.45552111,-1.12670611,190,98.65482097,-0.01511946,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
177,1171,1,8,3,0.5,0.5,0,0.1,-0.65956132,9934.0438681,-1.14152737,174,93.93203063,-0.02001109,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
178,948,1,5,4,0.65,0.3,0,0.3,-0.66238295,9933.76170504,-1.97233999,141,203.74445035,-0.00767392,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
179,1162,1,8,3,0.5,0.3,0,0.1,-0.66485599,9933.51440056,-1.12854663,169,91.51542766,-0.02073831,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
180,1262,1,8,4,0.5,0.8,0,0.2,-0.67217938,9932.78206229,-1.2831682,125,129.48792776,-0.01082281,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
181,878,1,5,3,0.65,0.5,0.05,0.2,-0.68453334,9931.54666618,-1.7252983,182,179.28257094,-0.00883902,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
182,814,1,5,3,0.35,0.3,0.05,0.1,-0.69675397,9930.32460342,-1.31326828,170,88.65394002,-0.01407005,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
