rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,min_price_move_pct,cooldown_bars,max_hold_bars,stop_loss_pct,take_profit_pct,max_trades_per_day,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
76,572,13,3,0.4,4,0.03,0.3,0.1,10,60,0.3,0.8,60,-0.49352996,9950.64700418,-0.51227834,367,58.90573298,-0.03824485,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
77,573,13,3,0.4,4,0.03,0.3,0.1,10,60,0.3,0.8,100,-0.49352996,9950.64700418,-0.51227834,367,58.90573298,-0.03824485,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
78,583,13,3,0.4,4,0.03,0.3,0.1,10,60,0.5,1.2,30,-0.4938554,9950.61446022,-0.5399556,284,45.23621836,-0.04335043,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
79,475,13,3,0.4,4,0.03,0.3,0.05,20,240,0.5,1.2,30,-0.49551649,9950.44835119,-0.74556534,439,95.55452953,-0.03171328,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
80,217,13,3,0.4,4,0.03,0.3,0.03,20,240,0.3,0.4,30,-0.49806366,9950.19363351,-0.54367907,404,70.70101572,-0.05245768,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
81,686,13,3,0.4,4,0.03,0.3,0.1,20,120,0.5,0.4,60,-0.50152893,9949.84710702,-0.53029653,279,39.01683426,-0.0482111,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
82,687,13,3,0.4,4,0.03,0.3,0.1,20,120,0.5,0.4,100,-0.50152893,9949.84710702,-0.53029653,279,39.01683426,-0.0482111,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
83,661,13,3,0.4,4,0.03,0.3,0.1,20,60,0.5,0.8,30,-0.50188849,9949.81115099,-0.51663296,243,33.75334936,-0.05690343,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
84,688,13,3,0.4,4,0.03,0.3,0.1,20,120,0.5,0.8,30,-0.50257322,9949.74267824,-0.51380461,233,33.38871065,-0.04757613,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
85,694,13,3,0.4,4,0.03,0.3,0.1,20,120,0.8,0.4,30,-0.50299988,9949.70001172,-0.52068311,243,37.09008571,-0.04372212,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
