rank,run_id,max_abs_weight,volume_lookback,spike_multiplier,volume_drop_ratio,pullback_tolerance_pct,breakout_buffer_pct,step_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
1369,1005,1,8,4,0.45,0.5,0.1,0.05,-0.24301433,9975.69856729,-0.3690329,105,24.76847956,-0.01883514,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1370,1906,1,13,5,0.2,0.5,0,0.1,-0.24329012,9975.67098767,-0.56575473,70,36.33309414,-0.01204111,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1371,835,1,8,3.5,0.45,0.3,0,0.15,-0.24333633,9975.66636705,-1.34311295,139,107.0178213,-0.00500399,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1372,1669,1,13,4,0.35,0.5,0.02,0.05,-0.24403316,9975.59668419,-0.38469096,107,25.75698273,-0.01667471,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1373,2478,1,21,4.5,0.2,0.3,0.1,0.1,-0.24405315,9975.5946848,-0.86764313,71,34.6504589,-0.0064541,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1374,2705,1,21,5,0.45,0.3,0,0.05,-0.24452879,9975.54712061,-0.57790557,66,18.16902811,-0.02280555,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1375,1956,1,13,5,0.35,0.5,0,0.2,-0.24455961,9975.54403903,-1.30924448,74,74.05048314,-0.00375051,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1376,1097,1,8,4.5,0.35,0.5,0.05,0.05,-0.24489664,9975.51033625,-0.29545066,94,23.17440041,-0.02568581,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1377,1213,1,8,5,0.35,0.1,0.1,0.05,-0.24490736,9975.50926361,-0.82981482,63,13.74152153,-0.00964529,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1378,857,1,8,3.5,0.45,0.5,0.05,0.05,-0.24604351,9975.39564899,-0.62591405,133,33.17433562,-0.01260571,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1379,1479,1,13,3.5,0.2,0.5,0.02,0.15,-0.24614232,9975.38576817,-1.10489444,104,73.64442039,-0.00438077,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1380,102,1,5,3.5,0.45,0.1,0.02,0.1,-0.24665393,9975.33460702,-0.75383425,133,68.79155204,-0.00652092,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
1381,1405,1,8,6,0.45,0.1,0.1,0.05,-0.24694744,9975.30525616,-0.37115622,48,10.79756374,-0.0273521,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
