rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
263,365,5,3.5,0.6,2,0.08,0.15,-0.25017082,9974.98291777,-1.07951611,472,142.98050313,-0.00436253,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
264,682,13,2.5,0.5,4,0.05,0.3,-0.25152244,9974.84775569,-1.11351544,828,165.9753258,-0.00264527,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
265,171,3,4,0.4,3,0.05,0.15,-0.25153438,9974.8465622,-1.34647819,529,106.25515235,-0.00475655,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
266,200,3,4,0.6,2,0.03,0.3,-0.25157651,9974.84234924,-2.50749768,1178,140.03721376,-0.00253452,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
267,471,8,2.5,0.6,2,0.05,0.15,-0.25461082,9974.53891763,-1.17269837,683,136.2030313,-0.00471313,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
268,452,8,2.5,0.5,2,0.03,0.3,-0.25574115,9974.42588461,-2.22229766,1175,139.48905857,-0.00259956,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
269,239,5,2.5,0.5,2,0.08,0.15,-0.26661791,9973.33820949,-1.4233767,588,179.92294446,-0.00487004,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
270,223,5,2.5,0.4,3,0.03,0.15,-0.26691432,9973.30856837,-0.42115366,800,95.8909115,-0.0057546,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
271,213,3,4,0.6,4,0.05,0.15,-0.26746237,9973.25376308,-0.96322968,539,107.76792287,-0.00501076,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
272,117,3,3.5,0.4,3,0.05,0.15,-0.26944849,9973.05515075,-1.33894554,572,114.83962348,-0.0052142,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
